application_id;application_date;rm_id;branch_id;business_sector;final_credit_status;approval_stage;decision_date;akad_signing_date;disbursement_date;requested_plafond;approved_plafond;missing_field_count;doc_completeness_flag;data_quality_score;rejection_reason
APP00001;10/02/2024;RM009;B11;Jasa;Rejected;Verifikasi;22/02/2024;;;0,76;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00002;28/01/2024;RM022;B05;Perdagangan;Rejected;Analisis;03/02/2024;;;0,90;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00003;14/05/2024;RM022;B04;Jasa;Rejected;Verifikasi;05/06/2024;;;1,14;0,00;2;Incomplete;60;Dokumen Tidak Lengkap
APP00004;19/07/2024;RM011;B02;Perdagangan;Rejected;Verifikasi;08/08/2024;;;5,04;0,00;1;Complete;75;Agunan Tidak Cukup
APP00005;23/11/2024;RM014;B08;Transportasi;Pending;Verifikasi;;;;3,61;0,00;1;Complete;85;
APP00006;24/09/2024;RM004;B03;Perdagangan;Approved;Analisis;13/10/2024;18/10/2024;20/10/2024;1,51;1,10;0;Complete;100;
APP00007;02/02/2024;RM026;B04;Produksi;Approved;Komite;15/02/2024;24/02/2024;05/03/2024;2,37;2,05;0;Complete;100;
APP00008;17/02/2024;RM026;B12;Transportasi;Pending;Verifikasi;;;;1,32;0,00;1;Complete;85;
APP00009;02/03/2024;RM029;B07;Pertanian;Approved;Analisis;13/03/2024;19/03/2024;21/03/2024;2,47;1,70;0;Complete;100;
APP00010;03/08/2024;RM013;B10;Produksi;Approved;Komite;11/09/2024;23/09/2024;28/09/2024;1,00;0,66;4;Incomplete;45;
APP00011;19/10/2024;RM002;B09;Pertanian;Rejected;Verifikasi;29/10/2024;;;3,11;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00012;08/04/2024;RM023;B02;Transportasi;Rejected;Verifikasi;10/05/2024;;;1,19;0,00;1;Complete;75;Agunan Tidak Cukup
APP00013;20/06/2024;RM005;B03;Produksi;Rejected;Verifikasi;27/06/2024;;;3,22;0,00;0;Complete;90;Agunan Tidak Cukup
APP00014;25/12/2024;RM011;B04;Jasa;Approved;Analisis;31/12/2024;11/01/2025;15/01/2025;1,53;1,41;0;Complete;100;
APP00015;01/08/2024;RM006;B10;Produksi;Approved;Komite;11/08/2024;25/08/2024;28/08/2024;1,23;0,81;2;Incomplete;75;
APP00016;04/02/2024;RM018;B01;Jasa;Approved;Komite;22/02/2024;27/02/2024;;5,22;4,75;2;Incomplete;75;
APP00017;14/08/2024;RM021;B07;Produksi;Approved;Komite;02/09/2024;06/09/2024;15/09/2024;2,20;2,02;0;Complete;100;
APP00018;10/04/2024;RM010;B02;Jasa;Approved;Komite;17/05/2024;24/05/2024;30/05/2024;1,63;1,33;0;Complete;100;
APP00019;10/05/2024;RM004;B05;Perdagangan;Approved;Komite;16/05/2024;31/05/2024;03/06/2024;3,12;2,26;0;Complete;100;
